name,address,category,phone,email,website,lat,lng,keyword
SPEC INDIA,"SPEC House, Parth Complex, Navrangpura, Nr. Swastik Cross Roads",company,,,,23.0366895,72.5616924,Top IT solution companies in Ahmedabad
TM Systems Pvt. Ltd.,Krupa Shankar Joshi Marg,company,,,,23.0310817,72.5624122,Top IT solution companies in Ahmedabad
"HCP Design, Planning and Management Pvt. Ltd","101, Paritosh Building, Usmanpura, Ashram Road",company,+917927550875,,https://www.hcp.co.in/,23.0483975,72.5728674,Top IT solution companies in Ahmedabad
TatvaSoft,Rajpath Club Road,company,+91 960 142 1472,info@tatvasoft.com,https://www.tatvasoft.com/,23.0351369,72.5004217,Top IT solution companies in Ahmedabad
Novus Logics,Ramapir no Tekro BRTS Station,it,+919727577587,sales@novuslogics.com,https://www.novuslogics.com/,23.0622048,72.5713002,Top IT solution companies in Ahmedabad
Complitech Solutions Pvt. Ltd.,Sarvopari Mall,it,,nik@complitech.us,https://complitech.us/,23.0589766,72.537631,Top IT solution companies in Ahmedabad
KAMAL STEEL,,company,,,,22.9758691,72.6370458,Top IT solution companies in Ahmedabad
HorizonCore Infosoft Pvt Ltd,Jhawarchowck,company,,,,22.9950084,72.6022538,Top IT solution companies in Ahmedabad
Venus tape,Vatva-1 Road,company,,,,22.9779487,72.6314285,Top IT solution companies in Ahmedabad
Sakar Granito (India) Pvt. Ltd.,"Shefali Centre, Paldi, Ahmedabad, Gujarat 380006",company,+91-9909358116,export@sakarmarbo.com,https://www.sakarmarbo.com/,23.0148358,72.5661238,Top IT solution companies in Ahmedabad
Sauber Environmental Solutions Pvt. Ltd.,Ambli Bopal Road,company,7948003327,Info@sauberenv.com,https://www.sauberenv.com/,23.0261005,72.5030927,Top IT solution companies in Ahmedabad
ABD Diamonds Private Limited,"Phase 4, GIDC Vatva",company,+91-9687608117,info@abddiamonds.com,https://abddiamonds.com/,22.9721739,72.6410931,Top IT solution companies in Ahmedabad
Silicon WebX,"Opposite Sonal Cinema, Vejalpur Road, Juhapura",company,9898065298,siliconURL@gmail.com,https://siliconwebx.tumblr.com,22.9938681,72.5185439,Top IT solution companies in Ahmedabad
Ochre Revival,Ambawadi,company,9825012778,manini@ochrerevival.com,https://ochrerevival.com,23.0215167,72.5493678,Top IT solution companies in Ahmedabad
"CTP3R-WDFCC Project Office, Larsen & Toubro Limited",Sardar Patel Ring Road,company,,,,22.9916028,72.4725776,Top IT solution companies in Ahmedabad
Dream Scriptor,"North Plaza, Visat-Gandhinagar Road, Motera",company,+91 9033086886,,https://dreamscriptor.com/,23.1020055,72.5948103,Top IT solution companies in Ahmedabad
schoolnet India Limited,,company,,,,23.0214348,72.5553076,Top IT solution companies in Ahmedabad
9 Aple Web,Parimal Underbridge,company,+91 8000793212,hello@9appleweb.com,https://www.9appleweb.com/,23.0148606,72.5585554,Top IT solution companies in Ahmedabad
Azista Aerospace,Magnet Corporate Park,company,+917940605800,,https://www.azistaaerospace.com,23.0612025,72.5188171,Top IT solution companies in Ahmedabad
Thanksweb,Radhaswami Road,it,9537442430,info@thanksweb.in,https://www.thanksweb.in/,23.068303,72.5759447,Top IT solution companies in Ahmedabad
Sai Exports Ltd,"Tilaknagar Society, Old Wadej Circle, Opp. Supath 2, Ashram Road",company,+91-0123456789,,,23.0540841,72.5712737,Top IT solution companies in Ahmedabad
Ashwatthaps,,it,,,,23.0710945,72.5181958,Top IT solution companies in Ahmedabad
,Sarkhej bavla Road changodar,company,9327110140,,,22.9251634,72.446945,Top IT solution companies in Ahmedabad
icrl,,company,,,,22.9012182,72.596871,Top IT solution companies in Ahmedabad
,,company,,,,22.9009514,72.5950578,Top IT solution companies in Ahmedabad
Ahmedabad Technologies - CCTV,Danilimda Cross Road,it,+91 9484830629,shaaz5112@gmail.com,https://ahmedabadcctv.in,22.9971605,72.5784693,Top IT solution companies in Ahmedabad
Time Square 1,Thaltej Road,company,,,,23.0498446,72.5013169,Top IT solution companies in Ahmedabad
Ganesh Glory,,company,,,,23.1134254,72.5414761,Top IT solution companies in Ahmedabad
SatLeo Labs Pvt. Ltd.,"A708, Judges Bunglow Road",company,,info@satleolabs.com,https://www.satleolabs.com,23.0284745,72.5301693,Top IT solution companies in Ahmedabad
TDS Lithium Ion Battery Gujarat Pvt Ltd,,company,,,,23.49739,72.0002854,Top IT solution companies in Ahmedabad
KONZE India Pvt Ltd,"204-211, 2nd Floor, Anikedhya Capitol, Nr. Tapovan Circle",it,,info@konze.com,https://konze.com/,23.1186294,72.6122929,Top IT solution companies in Ahmedabad
Ganesh Glory 11,SG Highway,it,,,,23.1136923,72.5404916,Top IT solution companies in Ahmedabad
Pixiophile Solution Pvt. Ltd.,Airport Road,company,+91 9558507327,,https//www.pixiophile.com,23.089707,72.6564363,Top IT solution companies in Ahmedabad
Tech Decade,science city,it,+91 6354995516,info@techdecade.com,https://www.techdecade.com,23.0799028,72.5016478,Top IT solution companies in Ahmedabad
Skywalk The Element,,company,,,,23.1138177,72.5416696,Top IT solution companies in Ahmedabad
Ganesh Glory,,company,,,,23.113865,72.5413069,Top IT solution companies in Ahmedabad
ganesh glory 11,SG Highway,it,,,,23.1136948,72.5405023,Top IT solution companies in Ahmedabad
Atlanta,,public_building,,,,23.0265179,72.5535161,Web development companies in Ahmedabad
"St. Xavier's High School, Loyola Hall",,school,,,,23.047875,72.5490839,Web development companies in Ahmedabad
Mt. Carmel School,,school,,,,23.0351192,72.568061,Web development companies in Ahmedabad
Bodakdev Fire Station,,fire_station,,,,23.0398116,72.5163171,Web development companies in Ahmedabad
Navrang School,,school,,,,23.0483604,72.556364,Web development companies in Ahmedabad
"DPS - Delhi Public School, Bopal",,school,,,,23.0419569,72.4575053,Web development companies in Ahmedabad
A. G. Teachers High School,,school,,,,23.0403655,72.5484846,Web development companies in Ahmedabad
Manav Mandir,,place_of_worship,,,,23.0461532,72.5396662,Web development companies in Ahmedabad
"Karnvanath Mahadev, Shiv Temple",,place_of_worship,,,,23.0470512,72.5498248,Web development companies in Ahmedabad
Paramdham Temple,,place_of_worship,,,,23.0279683,72.5206423,Web development companies in Ahmedabad
Gayatri Mandir,,place_of_worship,,,,23.0616617,72.5914612,Web development companies in Ahmedabad
Wide Angle,,cinema,,,,23.0245953,72.5072957,Web development companies in Ahmedabad
St. Xavier's College,,college,,,,23.0329052,72.5517045,Web development companies in Ahmedabad
SLIMS - Som Lalit Institute of Management Studies,,college,,,,23.0337029,72.5537987,Web development companies in Ahmedabad
"Mount Carmel School, Khanpur",,school,,,,23.0329288,72.5766297,Web development companies in Ahmedabad
Amola Chambers,,public_building,,,,23.0322763,72.5596359,Web development companies in Ahmedabad
BSNL Navrangpura,,public_building,,,,23.031785,72.5592443,Web development companies in Ahmedabad
