name,address,category,phone,website,lat,lng
Atlanta,,public_building,,,23.0265179,72.5535161
"St. Xavier's High School, Loyola Hall",,school,,,23.047875,72.5490839
Mt. Carmel School,,school,,,23.0351192,72.568061
Bodakdev Fire Station,,fire_station,,,23.0398116,72.5163171
Navrang School,,school,,,23.0483604,72.556364
"DPS - Delhi Public School, Bopal",,school,,,23.0419569,72.4575053
A. G. Teachers High School,,school,,,23.0403655,72.5484846
Manav Mandir,,place_of_worship,,,23.0461532,72.5396662
"Karnvanath Mahadev, Shiv Temple",,place_of_worship,,,23.0470512,72.5498248
Paramdham Temple,,place_of_worship,,,23.0279683,72.5206423
Gayatri Mandir,,place_of_worship,,,23.0616617,72.5914612
Wide Angle,,cinema,,,23.0245953,72.5072957
St. Xavier's College,,college,,,23.0329052,72.5517045
SLIMS - Som Lalit Institute of Management Studies,,college,,,23.0337029,72.5537987
"Mount Carmel School, Khanpur",,school,,,23.0329288,72.5766297
Amola Chambers,,public_building,,,23.0322763,72.5596359
BSNL Navrangpura,,public_building,,,23.031785,72.5592443
Shilp,,public_building,,,23.0328924,72.5604427
City Centre,,public_building,,,23.0406632,72.5567409
Navdeep,,public_building,,,23.0405777,72.5687511
Memnagar Fire Station,,fire_station,,,23.0455062,72.5510013
Jalaram Mandir,,place_of_worship,,,23.0180339,72.5617653
Jivraj Mehta Hospital,,hospital,,,23.0085819,72.5432503
"Bhimnath Mahadev, Shiv Temple",,place_of_worship,,,23.0119553,72.5499794
Paldi Bus Stand,,bus_station,,,23.0140725,72.5645878
"Adlabs, BIG Cinema",,cinema,,,23.0465768,72.531028
Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,"Sterling Hospital Building, Off Gurukul Road, B/H. Drive In Cinema, Memnagar",hospital,9825181745,,23.0487566,72.5312683
Rajvadu Restaurant,,restaurant,,,23.0042051,72.5397742
"Jagannath Mandir, Temple",,place_of_worship,,,23.0114213,72.5810755
Chandkheda,,post_box,,,23.107121,72.5848584
,,cinema,,,23.0923921,72.5938017
,,hospital,,,23.0924908,72.5917525
Sant Asharamji Ashram,,place_of_worship,,,23.0931619,72.6024491
,,restaurant,,,23.0648296,72.5821405
Staff Parking,,parking,,,23.0113878,72.5687751
Amphitheatre,,theatre,,,23.0111829,72.5707945
,,bench,,,23.011309,72.569162
,,place_of_worship,,,23.0110649,72.5705432
,,fountain,,,23.011213,72.5694487
,,toilets,,,23.0112987,72.5694693
,,atm,,,23.0116557,72.5687622
Temple,,place_of_worship,,,23.0151595,72.5666935
,,place_of_worship,,,23.0141905,72.5682822
,,post_box,,,23.0606452,72.5804476
