name,address,category,phone,email,website,lat,lng
SPEC INDIA,"SPEC House, Parth Complex, Navrangpura, Nr. Swastik Cross Roads",company,,,,23.0366895,72.5616924
TM Systems Pvt. Ltd.,Krupa Shankar Joshi Marg,company,,,,23.0310817,72.5624122
"HCP Design, Planning and Management Pvt. Ltd","101, Paritosh Building, Usmanpura, Ashram Road",company,+917927550875,,https://www.hcp.co.in/,23.0483975,72.5728674
TatvaSoft,Rajpath Club Road,company,+91 960 142 1472,info@tatvasoft.com,https://www.tatvasoft.com/,23.0351369,72.5004217
Novus Logics,Ramapir no Tekro BRTS Station,it,+919727577587,sales@novuslogics.com,https://www.novuslogics.com/,23.0622048,72.5713002
Complitech Solutions Pvt. Ltd.,Sarvopari Mall,it,,,https://complitech.us/,23.0589766,72.537631
KAMAL STEEL,,company,,,,22.9758691,72.6370458
HorizonCore Infosoft Pvt Ltd,Jhawarchowck,company,,,,22.9950084,72.6022538
Venus tape,Vatva-1 Road,company,,,,22.9779487,72.6314285
Sakar Granito (India) Pvt. Ltd.,"Shefali Centre, Paldi, Ahmedabad, Gujarat 380006",company,+91-9909358116,export@sakarmarbo.com,https://www.sakarmarbo.com/,23.0148358,72.5661238
Sauber Environmental Solutions Pvt. Ltd.,Ambli Bopal Road,company,7948003327,Info@sauberenv.com,https://www.sauberenv.com/,23.0261005,72.5030927
ABD Diamonds Private Limited,"Phase 4, GIDC Vatva",company,+91-9687608117,info@abddiamonds.com,https://abddiamonds.com/,22.9721739,72.6410931
Silicon WebX,"Opposite Sonal Cinema, Vejalpur Road, Juhapura",company,9898065298,,https://siliconwebx.tumblr.com,22.9938681,72.5185439
Ochre Revival,Ambawadi,company,9825012778,manini@ochrerevival.com,https://ochrerevival.com,23.0215167,72.5493678
"CTP3R-WDFCC Project Office, Larsen & Toubro Limited",Sardar Patel Ring Road,company,,,,22.9916028,72.4725776
Dream Scriptor,"North Plaza, Visat-Gandhinagar Road, Motera",company,+91 9033086886,,https://dreamscriptor.com/,23.1020055,72.5948103
9 Aple Web,Parimal Underbridge,company,+91 8000793212,,https://www.9appleweb.com/,23.0148606,72.5585554
Azista Aerospace,Magnet Corporate Park,company,+917940605800,,https://www.azistaaerospace.com,23.0612025,72.5188171
Thanksweb,Radhaswami Road,it,9537442430,,https://www.thanksweb.in/,23.068303,72.5759447
Sai Exports Ltd,"Tilaknagar Society, Old Wadej Circle, Opp. Supath 2, Ashram Road",company,+91-0123456789,,,23.0540841,72.5712737
Ashwatthaps,,it,,,,23.0710945,72.5181958
icrl,,company,,,,22.9012182,72.596871
Ahmedabad Technologies - CCTV,Danilimda Cross Road,it,+91 9484830629,shaaz5112@gmail.com,https://ahmedabadcctv.in,22.9971605,72.5784693
Time Square 1,Thaltej Road,company,,,,23.0498446,72.5013169
Ganesh Glory,,company,,,,23.1134254,72.5414761
SatLeo Labs Pvt. Ltd.,"A708, Judges Bunglow Road",company,,,https://www.satleolabs.com,23.0284745,72.5301693
TDS Lithium Ion Battery Gujarat Pvt Ltd,,company,,,,23.49739,72.0002854
KONZE India Pvt Ltd,"204-211, 2nd Floor, Anikedhya Capitol, Nr. Tapovan Circle",it,,,https://konze.com/,23.1186294,72.6122929
Ganesh Glory 11,SG Highway,it,,,,23.1136923,72.5404916
Pixiophile Solution Pvt. Ltd.,Airport Road,company,+91 9558507327,,https//www.pixiophile.com,23.089707,72.6564363
Tech Decade,science city,it,+91 6354995516,info@techdecade.com,https://www.techdecade.com,23.0799028,72.5016478
Skywalk The Element,,company,,,,23.1138177,72.5416696
Ganesh Glory,,company,,,,23.113865,72.5413069
ganesh glory 11,SG Highway,it,,,,23.1136948,72.5405023
